"CloudletID","Priority","Status","vmID","vmSize","cloudletSize","waitingTimeSeconds","cloudletLength","cloudletCPUCores","StartTime","finishTime","exeTime"
"367","SUCCESS","0","7","32768","0","0.0","1240","2","111.08283083854643","234.86883083855798","123.78600000001155"
"369","SUCCESS","0","9","32768","0","0.0","581","2","111.08283083854643","131.1518308385466","20.069000000000173"
"370","SUCCESS","0","0","32768","0","0.0","1057","2","111.08283083854643","131.5778308385466","20.49500000000016"
"373","SUCCESS","0","3","32768","0","0.0","577","2","111.08283083854643","143.45183083854798","32.36900000000155"
"374","SUCCESS","0","4","32768","0","0.0","625","2","111.08283083854643","141.58183083854775","30.499000000001317"
"379","SUCCESS","0","9","32768","0","0.0","1014","2","122.15983083854637","140.92183083854766","18.762000000001294"
"380","SUCCESS","0","0","32768","0","0.0","802","2","122.15983083854637","146.42183083854835","24.262000000001976"
"383","SUCCESS","0","3","32768","0","0.0","1405","2","122.15983083854637","153.44983083854905","31.290000000002678"
"384","SUCCESS","0","4","32768","0","0.0","600","2","122.15983083854637","153.7798308385491","31.62000000000272"
"386","SUCCESS","0","6","32768","0","0.0","482","2","122.15983083854637","131.0418308385466","8.882000000000218"
"387","SUCCESS","0","7","32768","0","0.0","1367","2","122.15983083854637","255.94183083856026","133.7820000000139"
"389","SUCCESS","0","9","32768","0","0.0","618","2","122.15983083854637","144.11183083854806","21.95200000000169"
"390","SUCCESS","0","0","32768","0","0.0","1248","2","122.15983083854637","146.0918308385483","23.932000000001935"
"392","SUCCESS","0","2","32768","0","0.0","1637","2","122.15983083854637","244.19783083855899","122.03800000001262"
"393","SUCCESS","0","3","32768","0","0.0","640","2","122.15983083854637","157.29983083854952","35.140000000003155"
"394","SUCCESS","0","4","32768","0","0.0","1410","2","122.15983083854637","147.41183083854847","25.2520000000021"
"399","SUCCESS","0","9","32768","0","0.0","1083","2","122.15983083854637","142.0218308385478","19.86200000000143"
"403","SUCCESS","0","3","32768","0","0.0","1523","2","122.15983083854637","152.135830838549","29.976000000002628"
"404","SUCCESS","0","4","32768","0","0.0","677","2","122.15983083854637","150.71183083854888","28.552000000002508"
"406","SUCCESS","0","6","32768","0","0.0","1199","2","122.15983083854637","129.51683083854653","7.357000000000156"
"409","SUCCESS","0","9","32768","0","0.0","616","2","130.0668308385466","151.58583083854893","21.519000000002336"
