"CloudletID","Status","vmID","vmSize","cloudletSize","waitingTimeSeconds","cloudletLength","cloudletCPUCores","StartTime","finishTime","exeTime"
"148","SUCCESS","8","32768","0","0.0","13000","2","166.30980392156863","442.6001562500107","276.29035232844205"
"149","SUCCESS","9","32768","0","0.0","7000","2","166.30980392156863","187.49276688453182","21.182962962963188"
"150","SUCCESS","0","32768","0","0.0","16200","2","166.30980392156863","217.807368421053","51.49756449948438"
"151","SUCCESS","1","32768","0","0.0","6600","2","166.30980392156863","2444.360156249596","2278.050352328027"
"152","SUCCESS","2","32768","0","0.0","8200","2","166.30980392156863","220.0189068825917","53.70910296102306"
"153","SUCCESS","3","32768","0","0.0","11400","2","166.30980392156863","203.1273684210529","36.81756449948426"
"154","SUCCESS","4","32768","0","0.0","5400","2","166.30980392156863","178.72909090909093","12.419286987522298"
"155","SUCCESS","5","32768","0","0.0","200","2","166.30980392156863","167.20488874201368","0.8950848204450494"
"156","SUCCESS","6","32768","0","0.0","2400","2","166.30980392156863","174.8820588235295","8.57225490196086"
"157","SUCCESS","7","32768","0","0.0","9600","2","166.30980392156863","237.32925925925971","71.01945533769108"
"158","SUCCESS","8","32768","0","0.0","17600","2","166.30980392156863","563.2701562500207","396.9603523284521"
"159","SUCCESS","9","32768","0","0.0","16200","2","166.30980392156863","214.3774418604652","48.06763793889658"
"160","SUCCESS","0","32768","0","0.0","7600","2","203.01736842105288","238.7592592592599","35.74189083820701"
"161","SUCCESS","1","32768","0","0.0","17400","2","203.01736842105288","360.98015625000494","157.96278782895206"
"162","SUCCESS","2","32768","0","0.0","8400","2","203.01736842105288","424.67015625000846","221.65278782895558"
"163","SUCCESS","3","32768","0","0.0","16200","2","203.01736842105288","332.6001562500025","129.58278782894962"
"164","SUCCESS","4","32768","0","0.0","15000","2","203.01736842105288","245.99456140350887","42.97719298245599"
"165","SUCCESS","5","32768","0","0.0","8400","2","203.01736842105288","293.2018750000004","90.18450657894755"
"166","SUCCESS","6","32768","0","0.0","6800","2","203.01736842105288","2762.260156249964","2559.242787828911"
"167","SUCCESS","7","32768","0","0.0","9000","2","203.01736842105288","263.5182608695654","60.5008924485125"
"168","SUCCESS","8","32768","0","0.0","19600","2","203.01736842105288","1089.8201562500087","886.8027878289558"
"169","SUCCESS","9","32768","0","0.0","1800","2","203.01736842105288","218.69890688259153","15.68153846153865"
"170","SUCCESS","0","32768","0","0.0","9000","2","203.01736842105288","237.76925925925977","34.75189083820689"
"171","SUCCESS","1","32768","0","0.0","10000","2","203.01736842105288","481.6501562500139","278.632787828961"
"172","SUCCESS","2","32768","0","0.0","10000","2","203.01736842105288","283.5818750000004","80.56450657894754"
"173","SUCCESS","3","32768","0","0.0","10400","2","203.01736842105288","1618.5901562495278","1415.572787828475"
"174","SUCCESS","4","32768","0","0.0","18200","2","203.01736842105288","278.36333333333346","75.34596491228058"
"175","SUCCESS","5","32768","0","0.0","16400","2","203.01736842105288","270.9982608695663","67.98089244851343"
"176","SUCCESS","6","32768","0","0.0","11200","2","203.01736842105288","396.2901562500069","193.272787828954"
"177","SUCCESS","7","32768","0","0.0","7200","2","203.01736842105288","255.4445614035088","52.42719298245592"
"178","SUCCESS","8","32768","0","0.0","6600","2","203.01736842105288","281.7118750000002","78.69450657894731"
"179","SUCCESS","9","32768","0","0.0","15600","2","203.01736842105288","2541.6001562497086","2338.5827878286555"
"180","SUCCESS","0","32768","0","0.0","12600","2","203.01736842105288","239.96925925926004","36.95189083820716"
"181","SUCCESS","1","32768","0","0.0","5600","2","203.01736842105288","394.8601562500067","191.84278782895382"
"182","SUCCESS","2","32768","0","0.0","12400","2","203.01736842105288","683.1701562500302","480.15278782897735"
"183","SUCCESS","3","32768","0","0.0","16400","2","203.01736842105288","1059.790156250036","856.7727878289832"
